tweet,subtask_a,subtask_b,subtask_c,cleaned_tweet,stemmed_tweet,cleaned_s
@USER I mean it worked for gun control right? URL,1,1,1,"['mean', 'worked', 'gun', 'control', 'right']","['mean', 'work', 'gun', 'control', 'right']",mean worked gun control right
@USER She is drinking so much koolaid she’s bloated.,1,1,0,"['drinking', 'much', 'koolaid', 'shes', 'bloated']","['drink', 'much', 'koolaid', 'she', 'bloat']",drinking much koolaid shes bloated
@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!,1,1,0,"['institution', 'let', 'tweet', 'behaves', 'window', 'licker']","['institut', 'let', 'tweet', 'behav', 'window', 'licker']",institution let tweet behaves window licker
WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL,1,1,0,"['wtc', 'threat', 'maga', 'qanon', 'wakeupamerica']","['wtc', 'threat', 'maga', 'qanon', 'wakeupamerica']",wtc threat maga qanon wakeupamerica
@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!,1,1,0,"['please', 'call', 'trump', 'isa', 'narcissistic', 'sociopath']","['pleas', 'call', 'trump', 'isa', 'narcissist', 'sociopath']",please call trump isa narcissistic sociopath
@USER Fuck em,1,1,1,"['fuck', 'em']","['fuck', 'em']",fuck em
@USER Good move....he is the big loser,1,1,0,"['good', 'movehe', 'big', 'loser']","['good', 'moveh', 'big', 'loser']",good movehe big loser
"@USER it's literally a narrative that is on par with Nazis punch, antifa punch, they are two sides of the same coin."" noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews, the other just wants to prevent them from doing that, and this comparison benefits fash""",1,0,-1,"['literally', 'narrative', 'par', 'nazis', 'punch', 'antifa', 'punch', 'two', 'sides', 'coin', 'noooooooo', 'one', 'groups', 'wants', 'exterminate', 'deport', 'poc', 'jews', 'wants', 'prevent', 'comparison', 'benefits', 'fash']","['liter', 'narr', 'par', 'nazi', 'punch', 'antifa', 'punch', 'two', 'side', 'coin', 'noooooooo', 'one', 'group', 'want', 'extermin', 'deport', 'poc', 'jew', 'want', 'prevent', 'comparison', 'benefit', 'fash']",literally narrative par nazis punch antifa punch two sides coin noooooooo one groups wants exterminate deport poc jews wants prevent comparison benefits fash
@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.,1,1,0,"['many', 'dumb', 'arguments', 'gun', 'control', 'may', 'dumbest', 'common']","['mani', 'dumb', 'argument', 'gun', 'control', 'may', 'dumbest', 'common']",many dumb arguments gun control may dumbest common
@USER @USER @USER please don't kill me. antifa on the other hand...,1,1,0,"['please', 'kill', 'antifa', 'hand']","['pleas', 'kill', 'antifa', 'hand']",please kill antifa hand
@USER @USER She is an ugly black hearted troll URL,1,1,0,"['ugly', 'black', 'hearted', 'troll']","['ugli', 'black', 'heart', 'troll']",ugly black hearted troll
@USER Dont believe the hype.,1,0,-1,"['believe', 'hype']","['believ', 'hype']",believe hype
@USER @USER We have been saved from you! MAGA!,1,1,0,"['saved', 'maga']","['save', 'maga']",saved maga
"@USER You can probably imagine all the SJW snowflakes that don't feel safe"" working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century.""",1,1,0,"['probably', 'imagine', 'sjw', 'snowflakes', 'feel', 'safe', 'working', 'might', 'conservatives', 'lurking', 'shadows', 'conservatives', 'ruskies', 'century']","['probabl', 'imagin', 'sjw', 'snowflak', 'feel', 'safe', 'work', 'might', 'conserv', 'lurk', 'shadow', 'conserv', 'ruski', 'centuri']",probably imagine sjw snowflakes feel safe working might conservatives lurking shadows conservatives ruskies century
@USER This all I get 😢 damn these haters deleting you IG for no reason... URL,1,1,1,"['get', 'damn', 'haters', 'deleting', 'ig', 'reason']","['get', 'damn', 'hater', 'delet', 'ig', 'reason']",get damn haters deleting ig reason
@USER SJSHSJ THATS MY JOB BITCH,1,1,0,"['sjshsj', 'thats', 'job', 'bitch']","['sjshsj', 'that', 'job', 'bitch']",sjshsj thats job bitch
@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat,1,1,0,"['part', 'collusion', 'get', 'dumocrat']","['part', 'collus', 'get', 'dumocrat']",part collusion get dumocrat
"@USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!""",1,1,1,"['reason', 'farakans', 'illegal', 'values', 'black', 'muslim', 'would', 'reason', 'detest', 'believe', 'illegal', 'values', 'simply', 'result', 'bad', 'character', 'like', 'supporters']","['reason', 'farakan', 'illeg', 'valu', 'black', 'muslim', 'would', 'reason', 'detest', 'believ', 'illeg', 'valu', 'simpli', 'result', 'bad', 'charact', 'like', 'support']",reason farakans illegal values black muslim would reason detest believe illegal values simply result bad character like supporters
@USER Let the leftist democrats riot in the streets with their antifa counterparts.,1,1,0,"['let', 'leftist', 'democrats', 'riot', 'streets', 'antifa', 'counterparts']","['let', 'leftist', 'democrat', 'riot', 'street', 'antifa', 'counterpart']",let leftist democrats riot streets antifa counterparts
@USER @USER ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached.,1,1,0,"['antifa', 'giving', 'death', 'threats', 'professor', 'ford', 'threatening', 'violence', 'candidate', 'loses', 'spanky', 'impeached']","['antifa', 'give', 'death', 'threat', 'professor', 'ford', 'threaten', 'violenc', 'candid', 'lose', 'spanki', 'impeach']",antifa giving death threats professor ford threatening violence candidate loses spanky impeached
@USER So has the Law changed...you just make an allegation now days and your guilty until proven innocent. Liberals are mentally ill!,1,1,1,"['law', 'changedyou', 'make', 'allegation', 'days', 'guilty', 'proven', 'innocent', 'liberals', 'mentally', 'ill']","['law', 'changedy', 'make', 'alleg', 'day', 'guilti', 'proven', 'innoc', 'liber', 'mental', 'ill']",law changedyou make allegation days guilty proven innocent liberals mentally ill
@USER This game sucks donkey balls,1,1,1,"['game', 'sucks', 'donkey', 'balls']","['game', 'suck', 'donkey', 'ball']",game sucks donkey balls
@USER Absolutely should be a nail in the coffin.... for Hilliary,1,1,0,"['absolutely', 'nail', 'coffin', 'hilliary']","['absolut', 'nail', 'coffin', 'hilliari']",absolutely nail coffin hilliary
@USER He is a DUMBASS !!!!!,1,1,0,['dumbass'],['dumbass'],dumbass
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ...and #LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? URL,1,1,1,"['levistrauss', 'wanting', 'gun', 'control', 'many', 'us', 'wonder', 'heck', 'want', 'freedoms', 'taken', 'away', 'selective', 'freedoms']","['levistrauss', 'want', 'gun', 'control', 'mani', 'us', 'wonder', 'heck', 'want', 'freedom', 'taken', 'away', 'select', 'freedom']",levistrauss wanting gun control many us wonder heck want freedoms taken away selective freedoms
@USER At this point in time... I don't think Pres. Trump gives a sh*t... and neither do I! LOL URL,1,1,0,"['point', 'time', 'think', 'pres', 'trump', 'gives', 'sht', 'neither', 'lol']","['point', 'time', 'think', 'pre', 'trump', 'give', 'sht', 'neither', 'lol']",point time think pres trump gives sht neither lol
@USER donnie jr. you and your family owe the country an apology for taking your criminal activities into OUR White House You are lining your pockets while your father is unfit and making a mockery of our republic. Shame on you and your family. Justice will prevail,1,1,0,"['donnie', 'jr', 'family', 'owe', 'country', 'apology', 'taking', 'criminal', 'activities', 'white', 'house', 'lining', 'pockets', 'father', 'unfit', 'making', 'mockery', 'republic', 'shame', 'family', 'justice', 'prevail']","['donni', 'jr', 'famili', 'owe', 'countri', 'apolog', 'take', 'crimin', 'activ', 'white', 'hous', 'line', 'pocket', 'father', 'unfit', 'make', 'mockeri', 'republ', 'shame', 'famili', 'justic', 'prevail']",donnie jr family owe country apology taking criminal activities white house lining pockets father unfit making mockery republic shame family justice prevail
@USER Oh my Carmen. He is SO FRICKING CUTE,1,1,0,"['oh', 'carmen', 'fricking', 'cute']","['oh', 'carmen', 'frick', 'cute']",oh carmen fricking cute
@USER Chelsea is as crazy as her mother,1,1,0,"['chelsea', 'crazy', 'mother']","['chelsea', 'crazi', 'mother']",chelsea crazy mother
"@USER And the brainless #DEMS wants us to believe that he doesn't have the majority. Liberals is just like their leaders"" the corrupts #Obama and #CrookedHillary both are real bad losers #MAGA #TRUMP""",1,1,1,"['brainless', 'dems', 'wants', 'us', 'believe', 'majority', 'liberals', 'like', 'leaders', 'corrupts', 'obama', 'crookedhillary', 'real', 'bad', 'losers', 'maga', 'trump']","['brainless', 'dem', 'want', 'us', 'believ', 'major', 'liber', 'like', 'leader', 'corrupt', 'obama', 'crookedhillari', 'real', 'bad', 'loser', 'maga', 'trump']",brainless dems wants us believe majority liberals like leaders corrupts obama crookedhillary real bad losers maga trump
@USER @USER California gun control is direct result of white people scared of Black Panthers using their right to bear arms. NRA had no problem with that gun control!,1,1,1,"['california', 'gun', 'control', 'direct', 'result', 'white', 'people', 'scared', 'black', 'panthers', 'using', 'right', 'bear', 'arms', 'nra', 'problem', 'gun', 'control']","['california', 'gun', 'control', 'direct', 'result', 'white', 'peopl', 'scare', 'black', 'panther', 'use', 'right', 'bear', 'arm', 'nra', 'problem', 'gun', 'control']",california gun control direct result white people scared black panthers using right bear arms nra problem gun control
@USER @USER And yet millions of permit holding people carried legally concealed firearms that same day and didn’t hurt themselves or anyone else.   But yet they want to have stronger gun control.   Idiots!  🤨  Our wonderful media has to hype incidents that fits their agenda.,1,1,1,"['yet', 'millions', 'permit', 'holding', 'people', 'carried', 'legally', 'concealed', 'firearms', 'day', 'didnt', 'hurt', 'anyone', 'else', 'yet', 'want', 'stronger', 'gun', 'control', 'idiots', 'wonderful', 'media', 'hype', 'incidents', 'fits', 'agenda']","['yet', 'million', 'permit', 'hold', 'peopl', 'carri', 'legal', 'conceal', 'firearm', 'day', 'didnt', 'hurt', 'anyon', 'els', 'yet', 'want', 'stronger', 'gun', 'control', 'idiot', 'wonder', 'media', 'hype', 'incid', 'fit', 'agenda']",yet millions permit holding people carried legally concealed firearms day didnt hurt anyone else yet want stronger gun control idiots wonderful media hype incidents fits agenda
@USER Yes do hurt your selves gun control freaks.,1,1,1,"['yes', 'hurt', 'selves', 'gun', 'control', 'freaks']","['ye', 'hurt', 'selv', 'gun', 'control', 'freak']",yes hurt selves gun control freaks
@USER @USER @USER Bullshit! Regulations are good because it keeps conservatives from striping our land into the Abyss,1,1,1,"['bullshit', 'regulations', 'good', 'keeps', 'conservatives', 'striping', 'land', 'abyss']","['bullshit', 'regul', 'good', 'keep', 'conserv', 'stripe', 'land', 'abyss']",bullshit regulations good keeps conservatives striping land abyss
@USER the owner of my culo,1,1,0,"['owner', 'culo']","['owner', 'culo']",owner culo
Now she scarred herself for life lol #MAGA URL,1,1,0,"['scarred', 'life', 'lol', 'maga']","['scar', 'life', 'lol', 'maga']",scarred life lol maga
@USER you fucking -,1,1,0,['fucking'],['fuck'],fucking
Confirm the MAN! THE LEFT WING ACTIVIST IS A LIAR WHO'S STORY CHANGES! NO HARD EVIDENCE! #ChristineBlaseyFord Innocent until proven guilty! #ConfirmKavanaugh  #MAGA  @USER  #WeakRinos #Republicans,1,1,1,"['confirm', 'man', 'left', 'wing', 'activist', 'liar', 'story', 'changes', 'hard', 'evidence', 'christineblaseyford', 'innocent', 'proven', 'guilty', 'confirmkavanaugh', 'maga', 'weakrinos', 'republicans']","['confirm', 'man', 'left', 'wing', 'activist', 'liar', 'stori', 'chang', 'hard', 'evid', 'christineblaseyford', 'innoc', 'proven', 'guilti', 'confirmkavanaugh', 'maga', 'weakrino', 'republican']",confirm man left wing activist liar story changes hard evidence christineblaseyford innocent proven guilty confirmkavanaugh maga weakrinos republicans
I'm Assuming I'm Not Going to Get an Answer': Brainless  #Liberal Stooge Ocasio-Cortez  .@USER on $40T Policy Plan URL #WakeUpAmerica  THIS is NOT America's future VOTE Republican  or surrender America to these #DEM morons @USER #MAGA,1,1,2,"['assuming', 'going', 'get', 'answer', 'brainless', 'liberal', 'stooge', 'ocasiocortez', 'policy', 'plan', 'wakeupamerica', 'americas', 'future', 'vote', 'republican', 'surrender', 'america', 'dem', 'morons', 'maga']","['assum', 'go', 'get', 'answer', 'brainless', 'liber', 'stoog', 'ocasiocortez', 'polici', 'plan', 'wakeupamerica', 'america', 'futur', 'vote', 'republican', 'surrend', 'america', 'dem', 'moron', 'maga']",assuming going get answer brainless liberal stooge ocasiocortez policy plan wakeupamerica americas future vote republican surrender america dem morons maga
@USER @USER Leftists showing yet again how vile they can be,1,1,1,"['leftists', 'showing', 'yet', 'vile']","['leftist', 'show', 'yet', 'vile']",leftists showing yet vile
@USER He is a drunk crazy man.,1,1,0,"['drunk', 'crazy', 'man']","['drunk', 'crazi', 'man']",drunk crazy man
@USER All that money hadn't made u smarter.,1,1,0,"['money', 'made', 'u', 'smarter']","['money', 'made', 'u', 'smarter']",money made u smarter
@USER Yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown😉,1,0,-1,"['yeah', 'need', 'made', 'bullshit', 'protestors', 'antifa', 'lol', 'time', 'epic', 'beatdown']","['yeah', 'need', 'made', 'bullshit', 'protestor', 'antifa', 'lol', 'time', 'epic', 'beatdown']",yeah need made bullshit protestors antifa lol time epic beatdown
@USER By the way why don’t you move to Haiti ? You liberals seem to make shit holes out of large cities. So go somewhere where it’s already a shit hole so you don’t have to do any work !,1,1,1,"['way', 'dont', 'move', 'haiti', 'liberals', 'seem', 'make', 'shit', 'holes', 'large', 'cities', 'go', 'somewhere', 'already', 'shit', 'hole', 'dont', 'work']","['way', 'dont', 'move', 'haiti', 'liber', 'seem', 'make', 'shit', 'hole', 'larg', 'citi', 'go', 'somewher', 'alreadi', 'shit', 'hole', 'dont', 'work']",way dont move haiti liberals seem make shit holes large cities go somewhere already shit hole dont work
Shouldn't pussy grabbing @USER be the one wearing the gloves while handling food? #MAGA URL,1,1,0,"['pussy', 'grabbing', 'one', 'wearing', 'gloves', 'handling', 'food', 'maga']","['pussi', 'grab', 'one', 'wear', 'glove', 'handl', 'food', 'maga']",pussy grabbing one wearing gloves handling food maga
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Antifa doesn't beat facsists to try to get them to change their mind - they know it's a lost cause to try to change a fascist's mind. They do it to scare them into hiding, to demoralize them, and to stop the spread of their hateful ideology. There is no forcing views on others"".""",1,1,0,"['antifa', 'beat', 'facsists', 'try', 'get', 'change', 'mind', 'know', 'lost', 'cause', 'try', 'change', 'fascists', 'mind', 'scare', 'hiding', 'demoralize', 'stop', 'spread', 'hateful', 'ideology', 'forcing', 'views', 'others']","['antifa', 'beat', 'facsist', 'tri', 'get', 'chang', 'mind', 'know', 'lost', 'caus', 'tri', 'chang', 'fascist', 'mind', 'scare', 'hide', 'demor', 'stop', 'spread', 'hate', 'ideolog', 'forc', 'view', 'other']",antifa beat facsists try get change mind know lost cause try change fascists mind scare hiding demoralize stop spread hateful ideology forcing views others
#FireMorningJoe he is cut from the same cloth as all other conservatives. His misogyny and bigotry are always on display. He is responsible for Trump. URL,1,1,1,"['firemorningjoe', 'cut', 'cloth', 'conservatives', 'misogyny', 'bigotry', 'always', 'display', 'responsible', 'trump']","['firemorningjo', 'cut', 'cloth', 'conserv', 'misogyni', 'bigotri', 'alway', 'display', 'respons', 'trump']",firemorningjoe cut cloth conservatives misogyny bigotry always display responsible trump
@USER @USER Truly has got to be the most idiotic thing I've ever seen.,1,0,-1,"['truly', 'got', 'idiotic', 'thing', 'ever', 'seen']","['truli', 'got', 'idiot', 'thing', 'ever', 'seen']",truly got idiotic thing ever seen
@USER @USER @USER @USER @USER @USER @USER @USER @USER It does work. If you want to control a population.  Australian gun control had no effect on homicides.,1,1,2,"['work', 'want', 'control', 'population', 'australian', 'gun', 'control', 'effect', 'homicides']","['work', 'want', 'control', 'popul', 'australian', 'gun', 'control', 'effect', 'homicid']",work want control population australian gun control effect homicides
@USER @USER Liberals ruin everything!,1,1,1,"['liberals', 'ruin', 'everything']","['liber', 'ruin', 'everyth']",liberals ruin everything
@USER That's what happens when you let a liberal get a hold of a gun.  That would be a good place to start gun control.  Ban liberals from getting guns.,1,1,1,"['happens', 'let', 'liberal', 'get', 'hold', 'gun', 'would', 'good', 'place', 'start', 'gun', 'control', 'ban', 'liberals', 'getting', 'guns']","['happen', 'let', 'liber', 'get', 'hold', 'gun', 'would', 'good', 'place', 'start', 'gun', 'control', 'ban', 'liber', 'get', 'gun']",happens let liberal get hold gun would good place start gun control ban liberals getting guns
@USER @USER You look happy .MAGA,1,1,0,"['look', 'happy', 'maga']","['look', 'happi', 'maga']",look happy maga
@USER Yet she is fat herself.,1,1,0,"['yet', 'fat']","['yet', 'fat']",yet fat
@USER @USER @USER What a joke! She is a Gem alright!! She is a Racist phony! Right along with this Racist Phony. That thinks she will follow me from her second account. And block me. Because I speak the truth. I could care less about follower's. Like it's a big party. I care that they discriminate URL,1,1,0,"['joke', 'gem', 'alright', 'racist', 'phony', 'right', 'along', 'racist', 'phony', 'thinks', 'follow', 'second', 'account', 'block', 'speak', 'truth', 'could', 'care', 'less', 'followers', 'like', 'big', 'party', 'care', 'discriminate']","['joke', 'gem', 'alright', 'racist', 'phoni', 'right', 'along', 'racist', 'phoni', 'think', 'follow', 'second', 'account', 'block', 'speak', 'truth', 'could', 'care', 'less', 'follow', 'like', 'big', 'parti', 'care', 'discrimin']",joke gem alright racist phony right along racist phony thinks follow second account block speak truth could care less followers like big party care discriminate
@USER @USER @USER May be you have forgotten that at the moment we are EU citizens and so all rights afforded to us are the same as for other EU citizens. Don’t believe all the shit that goes on in your head.,1,1,1,"['may', 'forgotten', 'moment', 'eu', 'citizens', 'rights', 'afforded', 'us', 'eu', 'citizens', 'dont', 'believe', 'shit', 'goes', 'head']","['may', 'forgotten', 'moment', 'eu', 'citizen', 'right', 'afford', 'us', 'eu', 'citizen', 'dont', 'believ', 'shit', 'goe', 'head']",may forgotten moment eu citizens rights afforded us eu citizens dont believe shit goes head
@USER @USER Just looked up his work History he is listed on the Board of Leading Age Services Aust (LASA) and comes from Medicare Local Alliance...what ever the hell that is,1,0,-1,"['looked', 'work', 'history', 'listed', 'board', 'leading', 'age', 'services', 'aust', 'lasa', 'comes', 'medicare', 'local', 'alliancewhat', 'ever', 'hell']","['look', 'work', 'histori', 'list', 'board', 'lead', 'age', 'servic', 'aust', 'lasa', 'come', 'medicar', 'local', 'alliancewhat', 'ever', 'hell']",looked work history listed board leading age services aust lasa comes medicare local alliancewhat ever hell
@USER Cause who bitches be playing with 😭😭😭😭 god aint give me the gift for nothing,1,1,1,"['cause', 'bitches', 'playing', 'god', 'aint', 'give', 'gift', 'nothing']","['caus', 'bitch', 'play', 'god', 'aint', 'give', 'gift', 'noth']",cause bitches playing god aint give gift nothing
@USER Coming from the man that threatened to try and kick Turmps ass now don't that take a set of ball's,1,1,0,"['coming', 'man', 'threatened', 'try', 'kick', 'turmps', 'ass', 'take', 'set', 'balls']","['come', 'man', 'threaten', 'tri', 'kick', 'turmp', 'ass', 'take', 'set', 'ball']",coming man threatened try kick turmps ass take set balls
@USER Getting scared ugly man?,1,1,0,"['getting', 'scared', 'ugly', 'man']","['get', 'scare', 'ugli', 'man']",getting scared ugly man
