sentence	label
maybe thisthe fine people dipshit president talking antifa left fringe far left anti fascist movement lump left antifa lump right neo nazis kkk vote youshhh	1
oh	0
anti antifa means dosnt like domestic terrorists probably watch cnn stop let mind control wear	0
good grief calm antifa people throw chicken nuggets ridiculous id think funny wasnt rewarding bad behavior	0
mother never moved think would least moved arm leg mean something idiot wasnt watching car geeezzz idiot car heshe blind	1
paul golding turned job bbc would let work	1
yes stalking weirdo would tweets video games hurt feelings go ahead block lol	1
missed point dont like called white supremecists bc support trump please dont generalize dems support antifa violence	0
screaming officials throwing racket confused	0
content let government control life	0
serious man idiot hateful scum earth	1
bigger problem liberal gun control nuts want open borders try cleanse society established cultures create ruling class communist structure proven fail england muslim breeding ground shameful	1
willienelson laughs maga conservatives theview suddenly outraged support democrats mog maga	0
please draw stupid sexy nezha nidus shoulder something	1
got	1
judge guy need come say lovers since high school would really fuck liberals	1
want get anyone trouble since first time happens frequency sat row back would issue carryons bulkhead tough hard say anything flight together hours	0
u notice actually good speaker good reader	0
really michael moore rosie drag	0
remember like tried tell hear roy moores accusers anymore running play confirmkavanaugh maga christineblaseyford	0
shes vile amp hateful amp funny needs stay news next years none us remember terrible person	0
week make clarence thomas confirmation hearings look civil agreeable tcot maga rednationrising	0
majority used money buy obsessed w would regarding brexit power amp negotiating reply call ge amp youll get answer	0
cincinatti well shootings keep happening stupid gun laws time americans woke something keep happening god prayers going help proper gun control laws	1
honestly people seriously delusional good thing majority fans ottawa educated ppl like scary	1
bro one big happy family	0
altright losers whiners wno power matter many rightwing oligarchs fund antifa attack altright russian intel funds antifa altright russia hawks onto something altright prorussia	0
justify death racists amp bigots excuse well weed criminal amp deserved murdered wait till excuses start	1
paid democrats like antifa paid clinton soros	0
high road shit work trumpconservativesrepublicansgopmagats mister nice guy says go low go jugular stopped	0
combined iq	0
rat said antifa black organization	1
doubt afraid france hammered left everyday think france behind genocide secretly investments sure silent ordinary french people global elites banks guess get help	0
show single case antifa actually murdered someone far right murdered someone charlottesville hypocrisy works ways	0
yall really change name assault rifle coming second amendment advocate puts wrong name rifle gun control lobby assault rifle normal rifle	0
correct watch initial bump sjws next months suffer significantly conservatives patient	0
gay children died result bert ernie gay hope ur happy conservatives	0
great state flooded illegal immigrants liberals blue states looking work dumbaes vote democrat go figure insane	1
vigano come forwardreveal isreveal documentsand board helping prosecution	0
remember weeks ago coach maryland terps football squad sure pare nots thought thing coach capricorn dick head competent stephen smith	0
guna spell like frida	0
maga booked boys	0
reason bravest people politically society black conservative seeing cities worst quality life black americans generationally ran liberals promises improvements	0
maybe something little recent help	0
mind going sleepover long safe protected	0
antifa fight fascists defending fascists blm sick crooked cops murdering unarmed black people defending killer cops	0
looks like antifa	0
according liberals yes guilty unless proves innocence wait man trusted ever dare make claim woman women sins man perfect	1
lol liberals thing	0
bert ernie puppets dogs children two genders two terms maga	1
courageous would better get charged hate crime maga buildthewall lockthemallup fixit	0
covered even	0
wednesdaymotivation teach type governments anyone runs public office liberal wants give illusion democracy keep power hidden conservatives enjoy representative government like take control	0
liberals sure delusional lot ha	0
hate man thinks irrelevant opinion matters ass bitch	1
corrupt dcrats charge pr big problem	1
fyi radicalism left sobs started occupy wall street failed got blm started failed put together antifa know done go gitmo	0
victim lets hear blood test since perpetrator shape	0
precious	0
feel like generally principle would use punching taking people good likejust giving bigger audience welp done fed would compare antifa stuff mean fact	0
read e	0
shit	1
need see doctor man	0
woman working liberals put husbands work	0
think could called turncoat talking sides fucking mouth lindsey graham longer trusted	1
recall hearing maxine waters issue summons people get face republicans conservatives paybacks b	0
honestly know hes stupid actually surprising dumb easily persuaded people country hell say shit like every white redneck screaming yeah maga baby	1
another trying get back spotlight paul mccartney go back england shut	1
wow exactly like antifa say radical influences radical deplatforming anyone disagrees pull one straight hitlers playbook get nazi fascist look behind karma	1
hell ya	0
says u desperate liberals ur dirty tricks aint gon na work kavanaugh confirmed ginsbergisnext	0
yet guys spent best part years speculating obamas birth hypocrisy trademark conservatives seems	0
bullshe probably debt soros paying heryou never afraid happenedgive us break	0
part plan conservatives budgets even layperson like knew exactly would happen cutting policing	0
good shit kaepernick great model young kids play football stand believe	1
years extensive backgroundsnot peeplink trumpboom conservatives rape liberals	0
african friends get free college demoncratic putting illegals ppl antifa ninja turtles running around acting like jihadist never lived real life experience antifa colleges kids white privileged	0
ontario liberal mp leona alleslev using jump queue faithful back benchers probably furious join liberals protest	0
twitter internet heres condensed basic history	0
oh oh oh know never savetherepublic votethemout savedemocracy maga ass smartdissent	0
lie certainly throwing gun control amp accountability window illegal involved hollering seeing shit hearing voices	1
president trump flying las vegas host maga rally	0
ready crazy ass racing tomorrow	1
weirdly vicious bitter extrapolate everyone access decent healthcare liberals think criminals free reveals pretty brutalist impenetrable mind	1
slippery slope argument used successfully gun lobby margaret sure way outside normal conversation probably country buys narative gun control difference womens lobby uses	0
count thats way behaves represent women	0
pretty yet naive great actress though everything said american values freedom american people gun control work look chicago	0
mru media liberal mp crosses floor join conservatives via cdnpoli	0
holder prison	1
conservatives believe attempted rape form flirting thats getting look past wont believe nonsense	1
even sexualmisconduct gay yr old gop men would call youthful indescretion amp get mulligan hypocritical evangelicals amp maga sshats	1
somewhat conflicted talking shit defending many intelligent bright minds held hostage msm propaganda peddling uhave read documents dive deep know funds antifamsmdnc etc	1
allergic chocolate	0
listening well thought arguments gun control would like respond key points counter argument like gasses	1
madison resident posted series antipresident trump signs outside home another negative sign	0
cadwell yes former antifa	0
exactly pure hatred blinded never seen mobs people go nutsmakes realize self awareness crucial right locally like honestly stay focused amp like absentee ballot	0
would anyone group lockstep either party im favor gun control believe climate change im big government wealth redistribution independent thinkers dont fit either party	0
real ones know kuniva would rip anyone apart right studio street	0
one shows progressive stand watch dislikes right left evenly know right start never seen show check youtube insightful maga	0
babe hope wonting women	0
whenever yall reference wire going think exit stage left	0
cant losing ab literally whole offense	1
definitely believe credible compared man lied oath times	0
hope enjoying	1
breitbart hero sure	0
going ask thing know	0
calling conservatives get vote cruzmaga	0
police banter training oh god fools tools maga mega mbga mcga conservatives patriots	1
implying noone took correct recordshaving hospital usual doctors nurses record goso claim many incompetent single record produced correctly	1
wish suck angel cookie	0
maga hats	0
knew would flush one dutch antifa twitter feeling lonely	0
trump chips away liberal us appeals court majorities maga sure fill constitutional conservatives	0
right shoot messenger go homosexual rot clergy bergoglio go man archbishop vigano exposed homosexual rot clergy satan must really good laugh one	1
careful know terrorist arm antifa going show try something	0
yea gun control debate slurs	0
fuck daddy	1
haha try hard condescending sure stormy relate correct sad trump really old man literally owns viagra company jokes kid	1
	0
first thing comes mind another liberal hit job damage liberals libtards actual victims sexual assault inciting doubt everyones minds democrats champion woman minoritiesthey covet power	0
yep would get rid bell instead taking sacks id thrilled sure aware rule throw bell away	0
glad person keep good hard work	0
fuck haha	1
funny conservatives like one defected sure mind liberal defected integrity	0
asking got past college would yes lol	0
post hoc ergo propter hoc homicide amp gun violence rates increased steadily decades since implementation gun control laws homicides recently dropped unrelated significant gun measure yet police demanding armed	0
lying outright lying	0
death threats antifa sitting outside house like republicans scrub social media	1
cut early would heard complaints smh	0
mine dhudbe reason lock screen haha	0
picked fuck	1
stand right thingshe rino	0
funny scared pigs could plot next childrens book	0
oh deargod veteran gun control	0
bill oreilly happen people like speak potus nra gun control	1
	0
action talks bullshit walks	1
certainly one amazing hot gorgeous stunning sexy flawless woman wow	0
fuckingndbs funnyhejs	1
well sure work hold notebook still available plus help try keep junko part mind away appare notly part blood tribe makes naturally good technology	0
going destroy america like done many businesses care middle lesser america americans cares top hopefully see light soon countries sell products	1
beer red cabbage also owns conservatives	0
never would happen taking notes american liberals	0
goes show deluded misled several subsequent occasions id ask dr lee urgent appointment grounds fact keep getting delusions	0
know guys scared antifa	0
sick puppy normal teen boys attempt rape predatory behavior prob isnt isolated behavior	0
maybe youve provided play form hate groups criticism criticismlite bashing antifa zero analysis	1
year mandatory federal sentence crime committed gun stop gun control nonsense punish guilty politician today support gun control safe zones work pols want less crime hot air	0
thought left hated guns gun violence gun control right	1
oh gosh love beautiful loaf angel taking care	0
fk instigating big mouth bitc amp evil friend opinion teamtani	1
cute liberals think save world cute naive	0
school misconduct allegations sounds like chewing gum class think accused much misconduct	0
yeah xenoblade sucks	1
disrespect oh pope need step	0
legend one best presenters want see	0
lmfaooooo foh w free thought shit lmaoooo	1
goodell fired year ago looks like owners let steer ship right iceberg oh well	0
following	0
u dont think bad stuff happens men cars shit happens everyone mindset deal possible issues like cant spend whole life worrying something likely wont happen life ur thing haha	1
also goes show called news people laughed eating crow wonderful watch looney liberals squirm around like worms drowning sunshine	1
disgrace	0
hectares cultivated poppy opium grew exponentially like never obama thou bet celebrated troop retreat myanmar made much money opium building bigger totally modern port	0
ugly old man trying make relevant lies remember saying deathbed confession cia director casey never happened according bodyguards room enough question morons credibility	1
starting tweet nonsense like mango mussolini	1
angry puppet trying pretend teaching children acceptance others tolerance somehow political wrong hate filled party real politicizing teaching kids gay people exist party lies	0
trying negotiate deal satisfies cant achieve would negotiate deal country time coalition chaos fall ready serve interests many	0
bruh times dropped kicked back wit feet caught aint g ass shit	1
uhall signatures record genius maga	0
hi unroll thread ok something strange going holtonarms exclusive girls school fraud blasey christineblaseyford maga see soon	0
joseph mifsud dems dont want find key	0
actor comedian political leader	0
one imagines sarcastic one worries	0
sick head man lost daughter	1
dont videos trump supporters blocking kkk sending away dont accept racism said fine people sides includes antifa go ahead pick choose information	1
	0
saying lies present	0
yeah series books got sword art online novels mangas	0
gay oh well havin mfs hot lol like plays	0
hyperbole libel shit fact checking must antifa	0
welcome incredible bloggers connected	0
goddess	0
yo ass probably playing super easy smh go home	1
actually read liberal mp leaves liberals another liberal party	0
dont strong gun control chicago nobody getting shot oh thats right law abiding citizens shot criminals dont understand cant gunsgun control controlling guns controlling citizens	0
agreedhe future	0
interrupting hearing every turn thats ok man take least remember kavanaugh definitely earned stripes scotus maga	1
tories labour conservatives conservatives rehmanchishti wonderful experience reading elmer elephant young karachiites pkbritish britishcouncil library great able promote amazing work bri	0
support potus please help retweeting following voting long live usa maga	0
also help banks boost balance sheets post crash would imagine atleast maybe current house prices part bank bailout package	0
tbh international adoption pretty much buying child people spend lot adopting children bc system allows people baby broker profit america going agency part buying child	0
yall bet sweet bippy thank u	0
california gun control direct result white people scared black panthers using right bear arms nra problem gun control	1
death jeremy corbin means necessary	1
urge stop facebook censoring conservatives	0
clue talking cant even tell difference real nazi freedom loving minority	0
thats correct maga	1
ha compared kerry obama clinton booker harris really	0
know bitch stop talking like got ta paper get nigga	1
gun control debate wont keep guns away every criminal make things better wont prevent every mass shooting may prevent crazy people buying gun first place	0
hey samsung website declined times credit afford phone without ass second one maybe next time even though hate iphone buy iphone screw	1
bloodless antifa	0
fact isit us vote republican make sure happen	0
ew also bitte	0
dreads dry asfuck dude	0
hard say sure thing sooooooooo dark almost like dc learned damn thing disastrous run films	0
yrs ago today president bush know one liberals calling cute signed law authorization use military force aumf used authorize military actions countries since without additional congressional action	0
coming	0
concern charters bipartisan	0
held something almost happening according yrs decides try ruin life despicable regardless didnt happen	0
would doubt anything unhinged witch would doshe leftest nutty professor mentally ill pastshe business teaching anyonei suspect closet antifa member pd soros psycho going thing gorsuch lockherup mental ward	1
either democrats amp liberals move aside help move aside people remove office veterans cant wrong	0
pope	0
hey dipstick dont sign kaepernick love much	0
carrey pig	1
grandmom anon	0
strong girl listen trash talk know anything go tell truth matters	0
think easiest way label would conservatives ok lbgqt community pro rights somehow supposed make liberal	0
antifa one shit brains worship queen needs toe cheese licked	1
lol throwing bullshit flag nonsense putuporshutup kavanaugh maga callthevotealready	1
aaa dibales dong	0
drug test tennis shes serious hormones testosterone	1
think hurt	0
active instagram lately dropping album sometime year	0
shuting mess yumi ever mess ms yuzuki	1
reminder trumps best interests scotus seat empty mid terms even next election trump card challenges partyconservatives days	0
difference affecting crime rates hi conus gun control	0
book still wanting money public liberals probably buy soros buy lot copies make best seller probably done liberal books voteredtosaveamerica	0
england averages gun murders per year hilarious imply gun control work uk must trump call fake news	0
	0
jose ramirez stealing hitting average hitting homers doubles playing good defense definitely blake snell cy young look numbers hes like jacob degrom al	1
like im missing lmao im bitter ignored yet im ignoring thats im like hard message	0
fabric flag ok love patriotism	0
liberals like pushed around conservatives supposed autocratic know winning shouting exceeds understanding rules based law best way watch liberals heads explode cons unpredictable	0
hey doug large amount contacts recently apologize inconvenience may cause referring tweet blue screen crash	0
tina thank president trump maga	0
cry river trump	0
take fish get	0
diversity success lmao	0
think found less well educated conservatives inclined accept government directive face value	0
guess chicago kids go theu shit every day strictest gun control around	1
heshe deserves tattoos hope antifa follow	0
aww pooky bearyou victim	0
tennessee conservatives rnrtn republicans prolifegen tngop libertarians prolife gaytriots rnr ccot part grow registering voters planned pare nothood pause think speaks volumes	0
fbi interviewed kaine sons ties antifa	0
yes read use term broad group leftist feminist theist whatever else many cases focus particular extreme subset group antifa subset wave feminism yecs without distinguishing fact subset	0
govt remains status quo kiss new found wealth goodbye open transpare nothing less thanks spine maga purge buildthewall sundayfunday news fakenews media business foxnews	0
gorgeous	0
perfect every way	0
yet millions permit holding people carried legally concealed firearms day didnt hurt anyone else yet want stronger gun control idiots wonderful media hype incidents fits agenda	1
fesheyes rise support gun control given new view topic drugs illegal criminals still would happen firearms law abiding citizens would lose right nothing would change criminals	0
want defined pulease live msmedia shitsmear point marxine waters sending antifa minions threaten public places learn give fck pavlovian left thinks night night	1
horrible jobmaybe career dying	1
republic	0
assuming proponent gun control argument gun control threat shot goes accuse people open conceal carry scared hypothetical fear shot hypocritical statement	1
said half eastern orthodox dunno opportunity educate	0
policy issues actual data applies obviously familiar massive health care crises existed legal look uncontroversial roe decision scotus statements regarding made	0
scary hell thats	0
still	0
entertaining nobody thought montel years picking fight incredible feeble mind	1
mass shootings occur gun free zones cities highest gun crimes murders cities strict gun control laws idea disarming everyone doesnt work criminals dont obey laws see easy unarmed prey	0
joke gem alright racist phony right along racist phony thinks follow second account block speak truth could care less followers like big party care discriminate	1
point fuckingclass nearly lol	1
sowhat wrong white guysi proud caucasian ampcolombian american woman happen like white men represent meespeciallysenkennedywe soooo done identity politics liberals	1
look antifa	0
biggest balls sayingmaga	0
hates	0
amazing reporters scared truth tell everything maga releasethedocuments	0
year today founder sadly passed away mandy devoted life saving animals across uk hope looking us smile knowing continuing work started years ago forever thoughts mandy leigh staff amp trustees	0
gun deaths global study shows us ranks worldwide partner asking gun control laws enacted read partners full article express opinion poll polloftheday	0
fuck	1
defo living last days	1
im ass	1
course probably record lifetime	0
cant appeal kinds wrong es would beat sh	1
thank gentle soul xxx	0
weird invitation treasure hunt goal find old deadname feels need prove trans ppl didnt care enough either way im going join	1
eto ba ang hindi corrupt naive think admin different previous admins	0
right issue democrats lying american people long lately seems like going crazy head lol	1
trust jesus palm hand jesusitrustinyou bless	0
many arrests taken place socialist media covering course coming arrests make socialists heads explode maga drain swamp build wall	1
wherever journey try best appreciate even want every season serves purpose putrajaya	0
fuck happened	1
yes	0
disgusting going taking whole church god	0
thinks talk referee like expect everyone support treat specially	0
womans car towed away claimed explosives authorities prince georges county investigated threat wednesday joint base andrews reports indicate woman said explosives refused leave maga	0
bitch	1
fantastic alamo sacred us blight history time better left erased	1
also sick alerts doctor side	0
support antifa like gilbert	0
brown like	0
principled conservatives	0
police priority funding country overrun crime degrees lawlessness unitedkingdom	0
goes chequers finished	0
glad wear wranglers gun control would propose stop criminals	1
best remedy bing andnevervotedemocrat n e v e r	0
free speech absolutist care offends talk imagine world supposed unoffensive carry forward liberals chastise saying things offend christians	0
antifa lol really stretching hee hee hes going obstruction justice	0
said right put forward read job description	0
love pointing antifa shit bags fact thugs claim	0
cutie	0
shit last night	1
goodluck bet emmys	0
hed said give lawyer asshole theyd given dershowitz	1
omg fuckin kind beauty tt	1
chelsea like hysterical radicals ignore facts exercise fear mongering science helped make sure women unborn safer today morning pill great advance sanctity life ensured mom baby	0
compromising active investigation sounds like obstruction justice	0
xtc going help sleep hahahah help feel better rockstar shitting us mean sleeping pills	1
read gun control doesnt work ca politicians working californians sounds right	0
also puerto rico island add middle atlantic people nowhere go big enough hurricane comes everyone could die	0
fake news	0
zarries didnt start conversation larry shipper trash talked ship yall petty ass larries stay mention eh	1
bias park jimin perfect man jimin bts main dancer read vocal heart	0
got magnify glass	0
love u x	0
anyone else think lying opportunist yeahmetoo	1
unfortunately report riddled errors fabricates connections influencers simply exist categorizes liberals farright even openly debate conservatives	0
rino speaks sassy one frequent vocal critics trump policies calling trump handling issues ranging gun control tariffs thinks quitting doorhit foxnews	0
seriously best	0
bummer excluding alist members astarisborn special events guess guys already testing shady moviepass tactics us	0
know guy girl first definitely uncharismatic person ever seen hosting type show	0
accuser actually needs investigated interesting whiped social media accounts antifa member	0
conservatives winning turn coat liberal admitting cons failed libs	0
lame outside cage killer cage	1
awesome kavanaugh didnt shake gun control dads hand sorry kid killed gun future judges fault happened omg white people cities silly	1
head already shaking finish first sentence taking step forward slamming cane prove point steve childish perhaps tired tired worried sick times someone cares decides great idea	0
lol going jail	1
hes hollywood elite	0
know exactly works steal money regulations taxes people thing government monopoly violence think democrats desperately need gun control want even power people	1
really care act judicial alt right operative supreme court	0
past sellby date	0
want thank god hospital get revived	0
wemarchforourlives enoughisenoughwhat say need solves guns special usa fall election focused electing actual gun controldump old dnc gop empowerment	0
adds bought	0
maximebernier supporters conservative enough need move right max says room ndp conservatives dont understand thoughtful conservatives arent calling hypocrisy keep getting meme fraud	0
simplistic comparison population density poverty levels big contributors need massive cultural shift constitutional amendments gun control effective like countries mean time people keep dying	0
despacito	0
quick	0
problem corporate barons spending millions conservative causes take instance nike plan spending hundreds thousands measure oregon billionaires spending millions curb gun rights washington	0
antifa ate homework	0
team even know ass	1
know naming sex robot models	1
shes fine starts like gets gets right derwins face dogs walked times per day suffering shes spoiled	0
probably referring fact started henderson appare notly shit sturridge appare notly finished years ago mean like could possibly win two field	1
love kayla glad okay	0
describes feel liberals level	0
queen rap bitches knot relate	1
factchecking tweet democrat would expect tweets political candidates ap liberals	0
dickmatized	1
vote cruz beto part deep state turn control back corrupted liberals	1
appare notly learn gun control	0
maybe wrong take oath preserve uphold constitution take people control gun control gtfo crazy steve willeford says hi know name perhaps google realize stupid	1
interview evanne honest right heart really moving hear personal thoughts crucial aspects life fair play amazing person	0
sexy hell tough	0
	0
dont like liberals dont civil conversation come evidence feelings context quotes	0
gun control stop illegals obtaining firearms	0
authorized search warrant mr jean home racist drug test premediated murder slandered victim	1
dig one dope sha	1
metoo movement must extension antifa complete joke movement selective joe biden would court fonding girls camera	0
somebody get cry room	0
hope ok	0
boise state fan tell two things kellen moore winner cerebral knows cannon arm fits game ability wrong everyone aaron rodgers	0
nice hat hey liberals democrats living rent free alls heads like mcdonalds imlovingit sweet revenge never tasted good maga walkaway	1
would say cowardly brave mean	0
anything help thank patriots maga hear thanking help share bc im loose signal rain batt die got ta get place plug thanks folks god bless	1
warning caution whenever liberal makes statement thinking people must demand details must follow ex moores definition rights mean open borders right squelch free speech depict lampo personnel opressors championing antifa lie big vicious	0
yrs connected facebook kathy soooo lucky really blessed friend	0
problem senator marco rubio nra payroll hes taken million dollars nra isnt going anything sensible gun control	0
believe even getting death threats conservatives roll way plus amp attorneys bankroll soros	1
think one higher portion sidewalk	0
lot guilt tucker take upon surely fault	1
paint ball range used antifa vs proudboy match last year	0
fixing headline antifa protestors chant believe christine ford	0
followers go get goal trumptrain maga kag	0
nvm dodging us play	0
yea shit sucks thats stopped watching anime mostly	1
lol hysterical please add fact looks like actually dead	0
following tacozt bit sociopath moron lethal combos	1
good	0
said many times liberals conservatives two sides coin coin back pocket wealthy canadians	1
lmfaooo imagineee even wouldnt say shit cos fandom would go fire	0
want health care want rich people pay less taxes care deficit want gun control afraid immigrants full hate control branches government	1
understood sir nation hunkered commitment help maga god given stable genius words till bitter end god speed tziyon shalom con musica lucho latin jazz vocalistampcomposer	0
pitches right middle one else trouble guy unbelievable playing season line	0
thanks following together help maga kag make great state texas even greater encouraging everyone know vote red	0
carrey becoming weird like peewee herman	1
documents must getting close crook	1
soros money pocket maga	0
maybe want appear unbias continue give cover antifa buddies cover	0
heres pic much plus nike much	0
westminster houseoflords tories brexit labourparty labour bunch hypocrites total showerofshite	0
buckwheat pretty sure eddie promoting white supremeists maga	0
sounds amazing bloody disgrace mostly forgotten	0
awesome course left think differently cares great	0
vote like life depends really drainthedeepstate maga	0
finish juice box get nap mats	0
hungery	1
know brown shirts uk arm government antifa protection receive police shown german police seem act like	0
yes	0
reminder nothing fiscally conservative maga	0
go girl god bless survivors getting young people vote common sense gun control	0
always remember rockstar	0
iam pretty sure time told politics side fault cale sexual predator jill committed stolen valor stealing someone else military pictures saying son could care less antifa proud boys came	0
would know gun control worked refuse try anything	1
heart beautiful interior wonderful wonderful	0
mom know twitter	0
believe hype	1
point bbc propaganda machine know answer brexit disaster thats loud clear businesses amp corporation mouth peace tories	0
correct	0
people floor cross opportunistic aholes deserve backlash getting sat independent joined conservatives ran spot conservative candidates think would feel role	0
gif called	0
hey sickholder dirty filthy greasy cheesy negarrrr contempt congress open mouth extremely stink	1
bells	0
think lying seen threats seen thousand comments articles story	0
hilarious way good	0
choice lifewhy would want someone wedding want least honest	0
happens liberals get control	0
eggman	0
wonderful elizabethkisses italy	0
legally need take min break every hours lunch stream hours lol stream hours required take second lunch hour	0
well trumpster said must true also handling cuba hurricane sad piece something	1
telesmokacatin damn looked better head	1
football fan	0
going tl saw words sweetheart horribly sad may family find strength	0
family maga care apart populace get distracted pop culture completely zero idea going world tell amp even care lion amongst lambs	1
absofuckinglutely shit already	1
foolish statement church leader frightens way easily frightened appreciate like though religious leaders never say anything foolish even	0
trying shape opinion mockingbirdmedia worse read comments failed miserably maga greatawakening thestorm wethepeople draintheswamp releasethevideo mockingbirdmedia fakenews qanon	1
cities avoid winter	0
ya obama trade ago trump telling truth stupid could leaders trump god bless trump maga kag full linktrumps answer	1
feinstein give grieving parkland gun control nut pare guttenburg full pass get kavanaugh threw body guard full protection mode guttenburg hates trump kavanaugh threatened site blames daughters death	0
exactly havent watched two years refuse former fan think jerry jones disgrace people helped make rich	1
oops guess liberals call racist nazi along names book	0
hmmmm meps elect uk attend european parliament represent uk framework operate victim leave subject rules dont even control brexitshambles lets stop	1
another falsehood dont think anyone wants abolish amendment growing majority want sensible gun control form better background checks banning assault rifles trump say anything rile base snake oil	1
destined another bargain bin dollar fire starter	0
well tool liberals im surprised dont see pretty much tool general	0
best maga following amazing patriots	0
challenged libtards im heremy thoughts gun control simple assault weapons banned civilians remember people murdered hammer hand gun protection support amendment	0
accusation ambush fact call one demonstrates sickness heart sickness todays conservatives	0
eric maybe jail	0
fast furious criminal behind bars	1
say half hearted apology goes away let conservative say anything close ruined life mentally deranged liberals totally disgusting jerks	1
talks shit buff chicken dip dude buff chicken dip	1
blm antifa morons start looting	0
maga tax dollars work	1
seems getting things done	0
sexual assault disqualify nomination ask ask questions private public hearing accuser posting facebook stopping conservatives trump dems still trot bill clinton	0
