sentence	label
another attempt dems hide truth abuse women movement verified abuser women metoo another extension soros groups like antifa kkk	0
moves forward damn facts long keep narrative dangerous line sliding scale line bunch liberal idiots use vilify conservatives justify actions liberals	1
troll simply dumb im enjoying love tweeter	0
chloe shut fuck seriously get fucking life leave us alone idk many time fucking tell bc clearly dont fucking get	0
bono idiot	0
sister fuckername one single thing obama said inappropriate	0
twitter purge black nba twitter changed accounts back maga white folk	1
liberals devils us ask repub hold hands stand together know arent alone fight civility decency call us names want doesnt matter one bit	1
miriam	0
hes tired liberals everywhere hes afraid go away money power tax payer paid junkets unbridled arrogance sick keep pressure working	0
made fooln last night kavanaugh like spiteful child seeking attention youngo wide eyed rant embarrassment chamber country	0
thank yes sick	0
thats correct maga	0
except administration allowed crime city skyrocket bloody leftist snake	0
believe woman person would volunteer shit show experience werent true stand solidarity christine blasey ford	0
see profile thinks hardcore boi	0
bono fakir always sticking hand someone elses buck may concerts tax evasion lecturing america africa never put money	0
liberals addicted fake news chris dope man	1
hardly problem antifa hundreds showed riot destroy	1
obviously antifa threatening force continue charade	0
grateful trump doesnt dog white house cruel man	0
love u beautiful bitch rawr	0
brutal hopefully sells team	0
even parody antifa page could deal shit	1
beautiful sexy	0
innocent proven guilty think time run personnel think lying someone paying lie jmo	0
fake news right mind would go along nut	0
picked fuck	0
thus far people getting shot kicked places conservatives maga walkaway confirmkavanaugh	1
facts matter plain amp basic never happened recorded history similarly hit islands area fact happened donald trumps watch unsurprising support abject failure dismissed	0
thats people chicago hell gun control works town	2
jamie oliver fucks meal deals tesco ill kill cunt	0
understand logic anyways going nowhere acceptable maybe ok	0
quite appare abhorres constitution stupid woman thinks much better anyone else	0
ren fault specify make father anything father chose coward question hand rose throat clasping lightly ravenous time	0
starting tweet nonsense like mango mussolini	0
niggas wellin wan na live world endless world wars death chaos hero literally anime xmen	1
liberals drink koolaid live bubbles think lot people like could see clownish look act	2
still canny get er somecunt maga telling us go bananas cos french boys spiking folks drinks amp kerr turns round n shouts fuck free dunt	1
entertaining nobody thought montel years picking fight incredible feeble mind	0
mocked sjws kkk extremely clever satire fact dont sense humor stupid get fault none means get denigrate lie motives native american woman bigoted misogynist	0
hiding like caged animal	0
biggest corrupt lying piece ever	0
replaces chickens gun control	1
liberals really nuts	1
really even care comes foolish annoying mouth go home david let adults maga	0
auto correct gggrrr crazy witch	1
sareena wrong behave like racist truth want children watching behavior	0
suck	0
dont talk shit laws	0
lol another illegal antifa girl	0
roaming charges good charge foreign fuckers come	1
guy explain day good indication talking shit	0
great american patriots dregs society warped delusional perspective joe blow biden disgrace america	0
support stand ground arming teachers gun control idaho believes gun rights zero chance	0
nigga snitched added spice top snitching	0
willie lost half fans getting involved politics fan believe support open borders gun control smoked much dope guess beta common	0
gutierrez people died puerto rico gutierrez racist hispanic	0
firemorningjoe cut cloth conservatives misogyny bigotry always display responsible trump	1
seen big chairs look face pose makes laugh somehow believe purposely orcastrated boots silly	0
let us focus kavanaugh bringing cases make argument hypocrisy irrelevant like saying let us investigate bank robbery liberals robbed banks try focus	1
sad many liberals seem love firing shots allies saw bernie sanders supporters calling uncle tom supporting hillary made argument shade hopefully block respect opinion	1
kavanaugh back nomination could go back dccircuit wno repercussions charge follow dems take back congress launch investigations conservatives lie get judgeships impeached high crimes amp misdemeanors	0
antifa one shit brains worship queen needs toe cheese licked	0
aa mr bean crawl back rock	0
division nation utter nonsense	2
suck fucking hard genuinely want drop school quit art spend every day life destroying another epson printer lead pipe hate much	2
literally literally crazy person	0
thats immature mention class even dime	0
think pope others prosecuted covering protecting child rapists	2
research racist history gun control	0
plenty sane centrist democrat citizens far leftist politicians amp antifa weirdos thanks	1
farright psychopath leader use invisible press created catkiller excuse bring back foxhunting gone christmas animalcruelty toriesout noconfidence crimesyndicate	1
probably shutdown website death threats votes yes shell likely get lots support maga voters	1
kavanaugh gun control raises residence dangerous dc area exposure gun violence bethesda like calling gangsta live beverly hills	1
money made u smarter	0
getting death threatscan go shield dont wait	0
fema contacted senator toldits tv hit take liar set would put big girl panties tell truth	0
chicago already toughest gun control laws country democrats want disarm law abiding citizens criminals always guns	1
feel free use unlike ilk scream literalviolence use dramatic phrases like denying right exist wahh women like us take silliness without crying knock	1
mueller told either would cooperate go prison life executedit coming maga drainthedeepstate confirmkavanaugh traitorsall	0
wonder many children molested	0
ramos sounds like shitty ump	0
free speech alive well since social media platforms run strict dictatorship opinions libtards	2
please call trump isa narcissistic sociopath	0
still thinks matters	0
started cameron may even worse conservative	0
crap job running country idiot cant supply country alternative opposition long running labour party	0
absurd left fielding violent feminists communists form antifa attack peaceful transition power two years wonder ever occur bad guys doubt moral fortitude	1
tuesdaythought hate speech hear last years liberals stop hate	0
bloody demon dont need summons one	0
wasting time replying twitter trolling behalf people making amount seems like someone propaganda pusheror likes gloating magas got screwed trump	0
eric holder prison	0
really show studies countries common sense gun control support statement thx	0
reason farakans illegal values black muslim would reason detest believe illegal values simply result bad character like supporters	1
kerry full shit undermining things knows iran debacle baby wants keep matter costs	0
got	0
niggas say anything	1
exactly hat true feckers detest	1
stfu bitch lol u salty im tryna get twitter famous ya know	0
matter said correct anyone stupid life families lives jeopardy based politico dam fool	0
judicial watch sues records fbi interviews demoted justice department official bruce ohr tcot maga rednationrising	2
means nothing always dramatic none promises ever come true sure still follow starting realize full crap	0
eye see kay oh ass	0
better call cruz slimy piece perverted former gop prime example used decent republican conservatives need vote beto	2
bs ford lyingthis everything delaying vote maga confirmkavanaughnow potus	0
sam singing didnt tell stop singing thanked unbelievable hell talking bad enough talking one houseguest keep talking wonder family think going nuts	0
million kids poverty screwed universal credit system brexitshambles economy teetering brink list endless common factor gt building country fit nothing	2
terrible	0
lucky bitch	0
ridiculous going vote point appare accepts bribes	0
fails realize party antifa complete lack self awareness people dangerous enemyofthepeople	1
god media using criminals heros push gun control	1
conservatives vote fed stupidity	1
hed shat pants faced antifa	2
democrats sociability quotient wonder democrats think gun control time	1
dont never pants forever throwing peoples eyebrow pinched nose ass	0
actor joe biden isand thats alll fake phony actor get stage joeyour time come amp gone dregs society could care less preach	0
maybe wrong take oath preserve uphold constitution take people control gun control gtfo crazy steve willeford says hi know name perhaps google realize stupid	0
gun control anti havent seen single ad attacking thats rhetoric create fear	1
yup destroy hard working ppl small businesses evil pretty face ppl falling	0
prosecuted fullest extent law tragic waste beautiful person incompetency hasty judgement ruined family friends lives know devastated little comfort loved ones	0
nobody addressing cow room even florence still thing like mass shooting wrong time talk gun control	0
eight years republicans denied obamas picks breitbarters outrage phony fake president	0
japan pm common sense amp foresight pander muslims like may tory political suicide ge ex tory	1
iya risi area didnt get money widow attempt get money proved abortive scam	0
pres trump right release classified docs proves investigation biased began almost yrs later mueller nothing trump damage presidency occurred due liberals	0
trader lol im screwed tight stop ill let ride	0
bitch please commie dems ones riding hell bent leather destroy democracy republic	0
lol	0
stay well clear unhinged	0
ok give u low life conservatives move u got one year til election canadians show u want racist running r country grow let us talk u like anybody look like u	1
gross	0
cnn fake news	2
explains disrespected idiots like urself korzemba	0
qanon liberals like monkeys throwing shit everything	1
settled never see jury never know truth maybe grabbed first swapping spit really stupid grab either way doubt ever know complete truth	0
course young dumb really brain would believe socialism	0
surprise texans hate liberals w soros backing	1
trudeaus liberals rules time oust	1
constituents support craven need vote	1
ever seen former democratic hierarchy fight president much know youve corrupt guilty abuse power darkest times dojcia presidential cabinet	2
shit dez talking jerry cowboys fucking clown ass dude go back	0
guess know talking proud boy talkin antifa pro antifa	2
watch music video jackets hrgggg love hanks dumb ass	0
politicians selling country drain	1
stop bs woman murdered home incredibly irresponsible outraged blaming victim black man weed anything murder home	0
mxm nigger thinks give fuck	0
ugly old man trying make relevant lies remember saying deathbed confession cia director casey never happened according bodyguards room enough question morons credibility	0
whatilearnedtoday liberals scum earth absolute treason	1
look sweden france uk europe changing europe muslim continent please watch youtube video title muslim demographics scared death unless muslim love islam mind u african america	1
feel sorry voters good choice	1
obama devil incarnate amp trump jesus christ get coming	0
fuckkk know seen bitch thats slapper lmao	0
trump sick man toxic mean spirited	0
worked fired comments view inconsistent damn place	0
fuck killing lately	0
missus horse hed fuck right us chasing like bell ends	0
dougford using trumpstyle authoritarian tactics discredit media repeatedly spread lies build false reality followers smart people conservatives know planned strategy weaken democracy onpoli	2
rosensteins attorneys helped vet kavanaugh sexual abuse charges go back highschool days proven amp named witness denies pathetic confirmkavanaugh pjnet ccot maga nomoreprogressiveliberals	1
hahahaha omg people thought would way forever idiots	1
ive proven gun control leads lower gun deaths youve chosen ignore accuse study falsified without proof proof used states mentioned going continue ignore asking clarification	0
except little attempted rape thing wonderful guy	0
gave beto well trump called teds wife ugly still licking boots help reelection	0
guy wants successful producer tweeting stuff like	0
liberals never handle truththe truth make heads	1
right issue democrats lying american people long lately seems like going crazy head lol	1
thats fucking rude	0
muted awhile ago tried say shit like positive work mexican rap like isnt kind pedo garbage	0
	0
dont watch moron movies	0
c back liberals shortsighted aka stupid crying wolf favor past future victims rape assault like said stupid	0
dalit muslim need remember	0
ya finest moment hun try fix ya shit knock tweet away	0
coarse alex many nation leaders well lapdpgs	1
one could say one coward could probably end charade continues sabotage country silence plus shes sad facelifted former soft porn model	0
way go david love someone send liberals tessyfiy morning keep fight	1
must talking hateful conservatives	1
ok racial epithats left calls black conservatives bigotry hypocrisy walkaway many blind tool establishment keep resisting outsider political elite millionaires	0
really slowing wan na ask could bring personal mac use work computer wan na seem like apple snob shook	0
agreed great idea wish could also remove existence maga patriotsunited prolife proisrael weareq	0
republicans conservatives disgusting people	2
also ugly hell something anybody wants look lol	0
democrat love great country standby watch liberal arm democratic party tries destroy everything love country walkaway actually runaway libshateamerica commiessuck maga kag everyone	0
ijustdo notseemyself ever supporting strict gun control guns secondamendment	1
even pedophiles interviews tell way stop kill pedophiles even admit prison offend thats keeps alive prison hope another opportunity molest innocent child sick fcks	1
guess chicago kids go theu shit every day strictest gun control around	1
happens let liberal get hold gun would good place start gun control ban liberals getting guns	1
liberals using sexual assault claim political tool let sink	1
gun control stop gun violence	0
ass hot seat walkaway pizzagate qanon hivites maga eagleonetowanta	0
recourse wrong many levels sue wish way reinforce points mistreatment received liberals full hate discontent unfortunately us idiots	1
yea thats crazy ass story like go wrong apartment theres numbers doors wouldnt notice soon walk aint shit	2
defending sex offenders shows waste time types	0
think ill blame dumbasses gun control	1
amazing low liberals go suit political agenda believe one bit good feeling pay price produce evidence	0
thanks joe sanity forsaken looong time ago hahaha	1
sure worried give break dana job know u make living pay healthcare etc dirt bags even shower crying gun control try	0
whole thing sham start	0
many republicansconservatives perennially bringing knife gun fight connecticut ended basket case state stomach matching adversaries aggression level get steamrolled every grader knows	1
says sad realizes might actually mean slaps says sad face hurts	0
bite vicious tongue	0
pope char compares pope francis false prophet bingo	0
dumbass	0
nuts would ever imagined us would concentration campshe devil	0
dont like hope next tyler final wins petty	0
fear tactics make people attack bullshit	0
could kiss ass complete disgrace senator votehimout voteblue votethemout blackmail	0
miss bitch	0
years ago sexually assaulted supreme court nominee would like remain anonymous answer questions basically smear campaign democrat want conservatives majority scotus	0
although think carter decent man without doubt worst president voting history worst question	0
according gore hurricane hazel trumps fault typhoons cyclones hurricanes trumps fault trump colluded god defeat hillary true	0
columnist always imagines patriot thats traitors rationalize perfidy clearly deep state steady state swamp whatever wish call sees nuisances amp trivialities elections maga	1
want face responsibility actions wrong job without taking account bit shit avfc bruceout	0
holy shit sick	0
aware hillary clinton said going use nuclear weapons russia sold weapons fuel complete idiot	0
said things liberals say president trump deporting immigrants trying deport people sneak country amp follow rules come come way criminal turn cnn amp try another point view	1
ok please understand one dubakoor mumtaj dubakoor army support certain things get saying dont understand survived point fit title winner	0
arm really sucks gun control	0
someone please call gun control bengals stop shooting selfies foot	1
surprised shoot students prove gun control important glad send kids college waste money turning pumpkin heads	1
omg idea wtf saying like pink sheet stock keeps reverse splitting eventually worthless everyone hey may keep dreaming need dreams	0
motherfuckers	0
comedian lectures audience hour white men scum earth	1
democrats desperate ppl threatening sen collins ca anything delay halt confirmation reelection line desperate ppl amp gop quite aware going	1
madam never respond among see nothing good pmb administration sucks	0
misleading nonsense like incapable straight news fake	2
shes confused poor struggling socialist	0
leftists showing yet vile	1
lie push gun control narrative actual number much lower look using reach number see high always playing politics	0
whereas almost year late trying demonstrate give toss womens rights needs law disgrace embarrassment keele legal profession alex prioritising rights sexual predators victims damages us gt	0
griffin thinks funny disgusting pig	0
implying noone took correct recordshaving hospital usual doctors nurses record goso claim many incompetent single record produced correctly	1
care going prison prison regardless	0
cause sweet lil nigga	0
funny even woman brought roe vs wade scotus regretted later one thing medical emergency required abortion though rare amp another liberals celebrating killing unborn children amp pretending health care	1
kind need nationwide gun control really stupid	0
liberals kookoo	2
trumps promise border wall pay lie gun control innocent lives taken	0
clear would listen anyways since interested arguing non existent racism tweet rather calling ignorant white girl display	1
encore say every western country thats eliminated mass shootings effective gun control lying would fitting	1
hope enjoying	0
care pe hope fold like cheap table wonder spoiled primadonnas huge salaries made bet bailed like gm amp big fail banks	0
proof african friends get free college demoncratic putting illegals ppl antifa ninja turtles running around acting like jihadist never lived real life experience antifa colleges kids white privileged	1
tcot maga complacency kills vote november	1
delusional	0
lot pedophiles catholic church	2
nov election tell tale msm laud antifa altmedia expose sorosshill shitheads	0
people absolutely insane liberals attacking white men years getting worse path pushing create another civil war recovery damn stupid see	1
truthfeed news fbi deals yet another devastating blow democrats kavanaughs accuser prolife	0
crap tho	0
bwahahahahahashe liar let bring case state md would love see see bankrupted kavanaughs attorney libel suit	0
still coverup bet anonymous writer oped ny times sept ny times sr adminstrator potus cud say since refused name writer stir crap within trump camp maga	0
terrible person	0
really sucks commies atheists liberals refugees anyone one us uses precious tax dollars	1
well half right shit	0
conway say louder fellow maga trumpkins horrible peiple insulting	0
ford liar amp ultra left wing radical working george soros amp others antifa amp dem party known along	0
aaaaaaaaa thats exciting majority friends second year point blow im receive moving whole ass country hasnt hit yet im film studies hate appare notly wbu babie	0
amazing much money thrown guy liberals freaking beto epitomizes everything wrong america vote cruz	1
kurt liberals obsessed seeing presidents disgusting penis fantasize room horrible hog sweating stop thinking mushroomcapped member visibly erect	2
proven lies	1
thats old man	0
nasty liberal sheepyou prime example sheeple brain	0
advocate gun control mass immigration cultural marxism tool jewish globalists	0
death threats thing disgusting party family values says antifa dangerous resistance group kavanaugh family death threats inquiring minds want know	1
u fuck already	0
concerns democrats disgusting behavior disrespect country constitution united states violation oath citizens constitution	1
jerry lewis ripoff needs go away already guy good acting like fool fool	0
one sick dude	0
another terrorist brought obumer	0
orourke one ignorant gun control freakdont know talking	0
police banter training oh god fools tools maga mega mbga mcga conservatives patriots	1
unsealthedeals congress sexual assault slushfunds pls maga bc wethepeople want know hypocrisy doublestandarddems sickening declassifyfisa amp declassifypowsdocuments yr darktolight	1
lets say selfish writer ive ever come know	0
well cut pages replace saying everyone needs chlorine cmon chicken	0
im jrshe nothingdont waste time human waste	0
tape proves always get paycheck sabotage one person actually gave chance tape records conversations white house someone looking sell later shes snake	0
sick head man lost daughter	0
delusional liberals twisted hate even acknowledge us airforce	2
good crook	0
thank fortitude perseverance please give mcconnell kick butt us conservatives	0
chicago wont enforce gun laws books go neighborhoods murders planned gun control liberals pass strict even confiscation guns black luves matter liberals trying pass agenda admendment	1
trump interest caring safety country doesnt care gun control far shooting country doesnt care selfish person everything	0
abuse power crap hussein gang pulled big contribution fast furious caper bring gun control strict contravention amendment dont worry justice coming barrys band outlaws	1
oh sucks sick	0
women vile example far left lunacy using alinsky rules radicals handbook matter u liestealuse violence etc u must destroy conservatives lack character amp moral code	1
bye bye flake flake dont let senate door hit behind way	0
real goal make everyone wisconsin dumb	0
conservatives would anything eliminate value laborers country people worked died holiday want see lost fake constitution worshiping people value constitution way far right	1
democ rats pulling anita hill trick derail judge kavanaugh confirmation work get triumph communists destroy usa maga	1
niggas getting put list straight ass niggas seen good yoshi patchmade jay rest ass	0
years later liberals wants away	0
innocent people dont resign know liberals love sexual predators ok keith ellison assulting several women police reports support	0
dems done since kkk except back accused black men raping white women lynched play old playbook everyone liberals crying outrage fake pressuring ellison resign	1
theyve brainwashed obama media theyre full hate conservatives	0
antifa democrats gon na pay yuge november final nail coffin fruitcake trust funded fakenews journalism	0
omg fuck lives sis	1
myths democratic socialism debunked maga kag	0
yeah xenoblade sucks	0
absolutely point debating liberal party swung far left nothing hate rationale fleeted side trump could create world peace utopian society liberals would still resist reason hatred	1
prime example anymore liberals government want know constitution prefer dictate superior americans hate republic brazen need keep votethemallout	1
schools read ammo box warning label	2
another negative democrat refuses disappear	0
boy smoking marijuana hanging pornstar escort girl paying people keep slave slave insane	0
shows world useless ineffective little whiny brat go cry corner nuts oh yeah acosta	0
uk polititians special breed filth get together vote expense sex crimes paedophilia remain secret declare child abuse documents remain secret due national security nothing national security	1
meme repeater	0
second theyre fucking nuts	1
